Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Myers+Chang at Home,"['Joanne Chang', 'Karen Akunowicz']",ePUB,46.19,36.99,0544836731,2024-03-19,HarperCollins,320
Click,['Kayla Miller'],ePUB,18.69,14.95,1328527905,2019-01-08,HMH Books,
How I Became The Fittest Woman On Earth,['Tia-Clair Toomey'],ePUB,17.59,16.99,0646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
Son,['Lois Lowry'],ePUB,20.89,15.95,0547928513,2012-10-02,,400
Mastering Color Knitting,['Melissa Leapman'],ePUB,15.42,12.99,030796549X,2011-07-13,Clarkson Potter/Ten Speed,
Dubliners,"['James Joyce', ""Edna O'Brien"", 'Malachy McCourt']",ePUB,8.55,7.99,1101042184,2007-02-06,Penguin Publishing Group,272
Stitch 'N Bitch Crochet,['Debbie Stoller'],ePUB,23.99,23.99,0761174982,2006-02-13,Workman Publishing Company,250
Walk Into Silence,['Susan McBride'],ePUB,5.75,5.75,1365501213,2016-11-01,,0
Blood Ties,['Samantha Hayes'],ePUB,12.99,12.99,0755376609,2010-03-04,Headline,307
Lord of Chaos,['Robert Jordan'],ePUB,12.99,12.99,0748115390,2010-03-16,"Little, Brown Book Group",1056
A Wartime Christmas,['Carol Rivers'],ePUB,8.99,8.99,0857208349,2013-08-01,Simon & Schuster UK,464
Book not found for ISBN 9780230225916,,,,,,,,
No Way Back,['M. J. Arlidge'],ePUB,2.99,2.99,1405926953,2016-08-08,Penguin Books Ltd,40
Feel Better In 5,['Dr Rangan Chatterjee'],ePUB,19.99,19.99,0241397812,2019-12-26,Penguin Books Ltd,272
Infinity Gauntlet,"['Jim Starlin', 'George Perez', 'Ron Lim']",ePUB,16.12,12.99,0785170650,2014-05-28,Marvel Entertainment,
Nine Perfect Strangers,['Liane Moriarty'],ePUB,14.99,14.99,1405919477,2018-10-04,Penguin Books Ltd,
Escaping Destiny,['Amelia Hutchins'],ePUB,6.99,6.99,0991190920,2015-07-30,Amelia Hutchins,
The Fishermen,['Chigozie Obioma'],E-Book,0,0,0316338362,2015-04-14,Little Brown and Company,352
